idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
47,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Craftsmen,Nonunion,3.5265677,40,8.7371788,.75
48,35,White,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,,5.8528428,40,5.5576925,.33333334
50,36,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,,35.731617,45,9.4230766,6.4166665
51,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.4283414,18,10.269231,3.25
54,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,5.0322061,55,10.397436,.75
57,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.7809958,40,12.846154,7.25
62,38,White,Married,Has been married,10,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.1127205,40,7.3653846,5.9166665
63,44,White,Single,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,25.160601,18,10.384615,2.0833333
64,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.4041848,30,7.3846149,3.3333333
66,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.7101436,9,11.480769,9.75
67,40,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.0515299,24,11.038462,3.1666667
70,36,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,16.739124,38,16.083334,16.083334
71,34,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,5.7246356,38,10.5,2.5
72,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,7.4581928,40,9.4423075,1.0833334
73,36,White,Single,Never married,14,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Sales,,6.793478,40,14.442307,.5
75,39,Black,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,12.500001,40,14.499999,9.333333
78,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,17.697258,35,16.326923,9.083333
80,45,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,12.077295,8,5.7179489,0
85,38,White,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,9.406354,40,6.1923075,1.5
86,44,White,Single,Never married,17,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Laborers,Union,13.172291,44,16.26923,1.25
103,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.062799,35,9.833333,0
104,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,3.7439594,18,8.9487181,2.75
105,41,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.0257649,8,8.7884617,5.5833335
106,38,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,10.837358,40,17.416666,17.416666
107,43,Black,Single,Has been married,8,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,4.3478241,40,7.5448713,1.0833334
110,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.7101436,20,6.6602564,2.5833333
121,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,9.726243,38,20.698719,20.666666
123,41,Other,Single,Has been married,6,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Operatives,Union,2.8985493,37,7.3205128,.75
126,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.064413,40,19.75,19.75
128,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.5185146,40,19.032053,19
129,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.49436,37,14.230769,10.166667
130,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.600358,40,6.1538463,.66666669
131,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.2270532,38,12.26282,.25
132,36,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,5.6199675,43,10.24359,2.6666667
134,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Nonunion,4.64573,30,6.1282053,1.5
137,36,Black,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,15.48309,30,9.833333,9.833333
139,44,Black,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.8309178,35,8.5,8.5
141,43,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,,40.198082,40,12.910256,1.1666666
142,43,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,15.48309,40,15.115384,5.75
143,37,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.033444,40,7.0769234,.58333331
144,43,White,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,3.6231885,40,14.326923,.33333334
147,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,9.2995138,20,7.666667,3.0833333
152,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,10.217388,50,13.673077,4.8333335
159,36,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.008045,37,17.397436,17.333334
166,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.2270532,4,10.602565,1.0833334
167,37,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Construction,Sales,Nonunion,4.8309178,25,16.980768,7.5
168,41,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.7455678,40,11.301282,3.8333333
169,36,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.8470192,37,14.833333,14.833333
172,44,White,Married,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.869566,30,17.833334,3.4166667
173,43,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Personal services,Transport,,3.220612,35,11.506411,2.9166667
176,38,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Professional/Technical,Union,8.1642513,40,12.846153,3.5
183,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Union,8.4541073,40,17.121796,13.25
184,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.2930727,40,13.788462,12.083333
188,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,9.6779356,40,13.26923,8.416667
195,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,4.5330095,40,12.801282,2.1666667
202,36,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.3444817,30,11.551282,.25
203,41,White,Married,Has been married,11,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,8.4541073,24,19.006411,3.1666667
204,38,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.0386477,40,5.5961537,4
206,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.32206,18,10.333333,1.3333334
207,38,Black,Single,Never married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,11.610305,50,13.269231,2.0833333
210,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,,5.0167227,40,15.641026,10.916667
213,43,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,6.4412241,40,16.903847,14.416667
215,36,White,Single,Never married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.0322061,40,15.852564,3.75
218,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,4.8309178,38,10.115384,2.0833333
219,35,White,Single,Never married,13,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,11.070854,40,16.858974,8.916667
221,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,8.3172264,35,9.2564106,1.8333334
223,37,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Professional/Technical,Nonunion,13.083735,40,15.916667,8.75
224,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,5.6280179,40,10.788462,4.6666665
225,35,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,12.560386,45,16.692308,15.75
226,34,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,6.682766,40,7.6923075,6.6666665
227,42,White,Single,Has been married,15,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,5.6360707,40,18.788462,1.3333334
228,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,4.0257649,15,4.9807692,.33333334
231,42,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,18.067625,30,10.589743,9.833333
233,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.8051524,40,13.923077,13.916667
236,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,24.661829,20,9.4807692,3.75
237,36,White,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Sales,Union,7.21417,40,12.096154,1.75
242,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Operatives,Union,4.6940408,24,15.301282,8.75
243,35,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,12.697259,40,17.493589,8.583333
244,36,White,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,9.5652161,40,16.269232,11.25
245,36,White,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6.1916251,40,9.8461542,1
250,44,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.6811533,50,9.0641031,3.9166667
254,39,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.8067579,40,16.307692,9.75
255,45,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,4.0257649,40,24.75,24.75
257,38,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,11.610305,40,11.653846,2.75
260,38,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,6.9645681,40,10.871796,2.5
261,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.2592573,40,5.3653841,2.8333333
262,44,White,Single,Has been married,14,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,,4.5088553,40,14.576923,1.25
265,44,White,Single,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.2270517,40,11.019231,.75
269,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,3.3172295,14,7.6538463,1.75
270,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Laborers,Union,8.0515299,40,16.448717,10.666667
271,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.1127205,40,11.333333,11.333333
273,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Laborers,,3.5535119,20,9.0192308,.33333334
275,38,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,,1.0049518,16,7.4807692,1
276,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.3188381,22,16.166666,16.166666
279,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Other,,9.8912992,55,15.557693,6.25
285,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.8856664,50,10.102564,2.5833333
287,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.8631215,15,5.5192308,.75
289,44,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Construction,Sales,,2.801002,46,19.134615,.75
291,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,,3.0518394,40,7.5961537,4.5833335
294,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.6360707,30,15.608974,1.75
296,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,8.8083696,32,15.230769,11.416667
298,37,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,23.244761,40,12.070512,2.25
299,41,Black,Single,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,12.222217,38,12.153846,6.75
301,38,White,Single,Never married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.971002,40,14.903846,6.5
305,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,15.789039,40,15.807693,15.5
306,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,6.9645681,40,16.833332,13.416667
307,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,4.3886213,22,13.833333,2.3333333
308,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,,11.148272,50,14.173077,.75
312,36,White,Married,Has been married,15,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.6618366,16,9.6538458,.66666669
315,38,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,29.726234,50,14.884615,1.5
319,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.4927521,18,8.3461542,2.6666667
322,41,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,,6.6889634,16,12.096154,.83333331
324,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,,5.8528428,25,7.3653846,.91666669
325,34,White,Single,Never married,12,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Laborers,Union,4.6135263,60,16.115385,3.25
327,38,White,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Laborers,Nonunion,4.0257649,30,3.8525643,
329,42,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,12.181962,40,19.076923,2.5
330,43,Black,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Sales,Union,4.7504005,40,16.115385,.66666669
331,37,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.0515299,40,13.397435,12.416667
332,36,Black,Single,Never married,9,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,7.4476643,40,10.903846,4.75
333,35,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,8.5185146,40,13.769231,11.5
338,41,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,7.2463775,18,9.0192308,1.3333334
341,41,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,11.97262,40,17.602562,6.1666665
345,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.8083696,32,10.198718,5.0833335
347,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,11.070854,40,17.096153,17
350,39,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.6779356,40,16.51923,2.4166667
352,35,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,3.5426712,20,14.365385,14.166667
354,36,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.4202881,35,7.1282048,2.5
356,43,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,7.3188381,40,10.403847,9.75
358,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.0515299,40,24.474358,17.416666
359,44,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.837358,40,15.057693,6
360,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,38.709259,40,15.243589,10.75
363,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.8953257,36,11.602564,9.25
367,37,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Union,10.354262,35,8.083333,8.083333
376,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,11.50563,42,17.506411,17.5
377,38,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,23.824474,65,13.564102,3.8333333
379,43,White,Single,Never married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,7.5523334,40,21.737179,20.166666
382,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,7.9629631,35,21.326925,1.5833334
384,41,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.8309178,25,7.1346159,
389,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.4669862,15,1.75,.083333336
392,43,White,Married,Has been married,8,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,8.0515299,40,8.8653851,2.75
395,36,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Manufacturing,Clerical/Unskilled,Nonunion,6.5458913,40,16.365385,13.75
396,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.260869,32,13.711538,1.9166666
397,37,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,4.8309178,20,12.942307,.75
398,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.413847,40,11.403846,6.4166665
399,37,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,16.529789,40,16.76923,0
402,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,6.1755219,40,13.589743,9.25
403,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,5.7326884,40,10.5,10.5
406,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.2801929,40,13.198718,.5
407,37,White,Married,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,,1.0322473,15,9.3076925,4.5833335
409,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Sales,,5.9581308,26,12.006411,1.6666666
410,43,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.185181,42,11.935898,2.5
414,36,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.5152969,39,15.108974,5.5
415,35,White,Single,Never married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.7890487,50,9.2692308,3.3333333
417,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,Nonunion,3.3444817,20,7.8397436,.16666667
419,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.2801929,40,8.5,2.3333333
422,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Transport,Nonunion,1.7230269,35,12.589744,7.1666665
423,42,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Managers/Admin,Nonunion,3.4866207,30,12.455128,5.1666665
425,34,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,,3.6371226,40,8.8076925,1
426,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,2.6811595,30,1.1282052,.41666666
429,43,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,7.7455678,40,5.8525639,3.0833333
431,36,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Professional/Technical,Union,11.409016,38,15.974359,8.333333
432,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.0370355,55,9.2179489,6.75
433,43,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,6.6586123,40,13.27564,1.8333334
434,34,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,,3.0518394,30,6.9166665,1.1666666
436,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,7.8502412,40,18.25,18.25
440,37,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,8.1481447,38,13.288462,2.8333333
441,42,White,Married,Has been married,9,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,Nonunion,7.2463775,16,1.923077,.083333336
443,37,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,5.6360707,20,10.916667,1.75
447,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,11.046693,37,14.185897,4
448,38,White,Single,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,11.626405,45,9.2115383,4.1666665
449,45,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.623189,42,8.8076925,6.9166665
450,39,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.25418,20,17.673077,10.75
