"PATIENT_ID","SEX","AGE","ETHNICITY","PRIMARY_SITE","HISTOLOGY","TMB","CANCER_TYPE","MUTATION_RATE","ic50_AKTinhibitorVIII","ic50_Avagacestat","ic50_CP724714","ic50_GenentechCpd10","ic50_GW2580","ic50_Pelitinib","ic50_Quizartinib","ic50_Ruxolitinib","ic50_WZ3105","ic50_ZSTK474"
"ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",5.96666666667,"B-Lymphoblastic Leukemia/Lymphoma",NA,0.484568730061546,55.9519899106792,33.4145689171009,0.246690935285272,46.8768054586483,0.121163064517202,0.0260638495361538,22.1003843549683,0.0584603226591121,0.185726521826534
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Male",17,"Caucasian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",5.46666666667,"T-Lymphoblastic Leukemia/Lymphoma",122.8998449,0.413798971158212,22.8663637753488,57.929977690667,0.322152900457557,146.287519968116,0.0622579525493561,1.40962681620387,13.8840541754801,0.0467620641431656,0.172195468959034
"AM38_CENTRAL_NERVOUS_SYSTEM","Male",36,"Asian","Central_Nervous_System","Glioma",11.6666666667,"Glioma",137.2704639,6.23828309818186,160.424912787126,27.585768343308,5.98596163327194,305.758018531198,2.8627021887203,6.97984004274838,48.7610578785422,2.34486070668581,0.982838957327846
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Female",64,"Asian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",14.9333333333,"Mature B-Cell Neoplasms",237.2233013,5.07800770189737,25.128156743014,31.9048488561535,4.66303722102506,35.0886950413727,7.65189247808052,2.08448120135772,20.1180616273194,0.330048059591374,1.32530020024689
"AN3CA_ENDOMETRIUM","Female",55,"Caucasian","Endometrium","Carcinoma",81.8333333333,"Endometrial Cancer",485.2864575,7.01648233100842,175.398056589627,144.722338536778,10.8236223478278,225.073721578859,47.6314853736285,16.7257090544407,81.8902552284268,0.266032978117426,2.29480988201392
"ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",3.4,"Mature B-Cell Neoplasms",NA,2.87219056011552,92.3930722326788,54.2183276602874,3.43592439466859,228.60942963342,1.09220872590909,4.8199425070816,21.163415351689,0.455634648517039,0.0831904268228916
"ASH3_THYROID",NA,NA,NA,"Na","",17.4,"Thyroid Cancer, NOS",NA,155.185783128535,139.567729560624,118.457352348038,21.5193601059958,303.479177427717,43.6378983061033,14.8430241400421,79.3610743054471,4.7424173729626,7.99592470491584
"ASPC1_PANCREAS","Female",62,"Caucasian","Pancreas","Carcinoma",7.66666666667,"Pancreatic Cancer",88.07978724,7.74597226090669,298.068999008182,411.751906794887,143.414637848108,952.203716671983,25.4640588224225,20.7544981189318,132.466396242918,4.99437860021355,5.36329754748966
"ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",10.5333333333,"T-Lymphoblastic Leukemia/Lymphoma",NA,1.2083949603416,22.5097376493102,59.4296345435553,0.272400191962194,165.015432528065,1.00708195930256,6.63948898210252,NA,0.0881733073084299,0.178176258916695
"AU565_BREAST","Female",43,"Caucasian","Breast","Carcinoma",18.7333333333,"Breast Cancer",223.3824299,3.62289344220646,181.450157197628,3.95164125417572,7.06362940895838,214.064420479636,0.222124776210802,4.0443627583854,81.3120319444212,0.343055855860388,2.66361973400807
"BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",9.16666666667,"B-Lymphoblastic Leukemia/Lymphoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB30HNC_UPPER_AERODIGESTIVE_TRACT",NA,NA,NA,"Na","",5.26666666667,"Head and Neck Cancer",NA,9.85600584666802,76.2198555292646,32.3708070609028,3.03811421826771,201.332344936729,0.359149694888315,10.1652089225756,59.4013527691089,1.61090156414957,0.967272523066843
"BB49HNC_UPPER_AERODIGESTIVE_TRACT",NA,NA,NA,"Na","",8.1,"Head and Neck Cancer",NA,162.290509862784,220.889814441713,241.891916413762,320.406018708307,324.452776957638,76.8469667915438,32.0325316352616,119.207300671519,19.0704306128546,112.189342281672
"BB65RCC_KIDNEY",NA,NA,NA,"Na","",5.53333333333,"Renal Cell Carcinoma",NA,54.0666205471058,197.221014323965,164.528531675257,2.89891926414959,356.223734091931,9.75776130864018,19.6653459913393,94.6006171669422,41.9008033594143,3.10279090994314
"BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",7.33333333333,"Mature B-Cell Neoplasms",NA,4.65933157962197,47.1915570248961,15.8096576978956,3.2992230455187,27.6156875294613,0.778922285470505,2.5029849508838,7.50551437215991,0.379960871994061,0.308479774056978
"BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",23.4333333333,"Mature B-Cell Neoplasms",NA,4.8064847705148,92.6161932987379,26.827916344055,1.15258010627214,90.8896378830839,1.4061690206543,6.93481931948099,4.19273807906604,0.179653550893264,0.789229599369794
"BCPAP_THYROID","Female",76,"Caucasian","Thyroid","Carcinoma",8.46666666667,"Thyroid Cancer",112.5260944,27.3733523993423,81.8075060171655,89.7680391063098,5.06712704904883,107.77384458995,3.87975497163279,9.32108464364878,38.3795206145506,0.28391567611414,1.73195183350686
"BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",11.8,"T-Lymphoblastic Leukemia/Lymphoma",NA,3.1926331015329,97.7486120707533,46.1612637765548,0.612764250631376,101.64862366076,0.656721005401083,2.18363080879249,44.7870036394114,0.109632545560939,5.84942870962089
"BE2M17_AUTONOMIC_GANGLIA",NA,NA,NA,"Na","",10.2333333333,"Peripheral Nervous System",NA,57.9187403650508,160.277870571259,33.0591373967452,25.2583299417517,200.259494888913,39.3359948820076,15.9868738313696,82.0317198578067,2.98510523252385,6.94032775257921
"BECKER_CENTRAL_NERVOUS_SYSTEM","Male",57,"Caucasian","Central_Nervous_System","Glioma",7.13333333333,"Glioma",NA,38.6611801616709,159.686417258861,109.529070714658,13.8136191440593,180.706650316381,7.48735801257755,10.7944487785526,91.0881755988209,1.92588961760118,0.9189183565665
"BEN_LUNG","Male",71,"Caucasian","Lung","Carcinoma",16.3666666667,"Non-Small Cell Lung Cancer",138.0393183,20.4051434709616,192.497082929493,92.1973142012527,18.0984264856811,184.466707491964,90.2164695818184,15.0020971300517,91.4212549397664,3.79810781767276,3.46929360087481
"BFTC905_URINARY_TRACT","Female",51,"Asian","Urinary_Tract","Carcinoma",11.8,"Bladder Cancer",177.9929204,16.3053129083234,80.8397661677748,60.9187494454333,14.7168780233313,119.54621105378,7.36088374808137,8.09678443883532,41.3405971914687,0.466792241180834,1.79537335944121
"BFTC909_KIDNEY","Male",64,"Asian","Kidney","Carcinoma",10.4,"Renal Cell Carcinoma",167.9478402,18.9547204353676,124.72072029132,76.1828216794318,9.5820829952268,224.724902815568,53.1352739209478,9.79638068887204,67.3963592906418,14.8707916928549,14.1370781229051
"BHT101_THYROID","Female",63,"Caucasian","Thyroid","Carcinoma",7.46666666667,"Thyroid Cancer",103.9713223,13.8351990422718,126.110436093197,71.3890859629606,8.9738428885876,226.831851339964,39.1394143929561,11.8392940082918,57.9543713457789,19.8008922536337,2.05572585562761
"BHY_UPPER_AERODIGESTIVE_TRACT","Male",52,"Asian","Upper_Aerodigestive_Tract","Carcinoma",14.0333333333,"Head and Neck Cancer",158.748475,13.1940767787392,136.923585480346,56.3545509823911,3.43729903933707,116.098735828366,0.49484237572636,13.2458460815426,66.9540792446843,1.63913719043194,1.2159127143434
"BICR10_UPPER_AERODIGESTIVE_TRACT",NA,NA,NA,"Na","",7.63333333333,"Head and Neck Cancer",NA,188.213884562275,228.088109618794,226.729799970142,230.107363998626,415.437839910354,18.6185426352091,19.3568042791994,117.713652312586,51.3695713458931,7.34977720117501
"BICR22_UPPER_AERODIGESTIVE_TRACT","Male",NA,"Caucasian","Upper_Aerodigestive_Tract","Carcinoma",8.73333333333,"Head and Neck Cancer",178.5846787,70.2815276705511,194.461072181207,91.9895515048542,194.564747559714,364.740083529596,65.2156845118246,12.9119340001244,99.5624414900962,1.84082897490045,2.83612873273387
"BICR31_UPPER_AERODIGESTIVE_TRACT","Male",NA,"Caucasian","Upper_Aerodigestive_Tract","Carcinoma",5.63333333333,"Head and Neck Cancer",90.85145988,44.4783253620905,150.181866047392,86.7713067829257,8.46165685341311,240.938086982857,1.86743157974202,11.9012567049547,76.9143142283239,1.3431814279959,9.19292346968184
"BICR78_UPPER_AERODIGESTIVE_TRACT",NA,NA,NA,"Na","",8.36666666667,"Head and Neck Cancer",NA,73.8260019870159,193.097260039643,98.7515401386136,150.02215752192,270.803103104656,8.80072408072712,13.8592932444823,87.9518934797874,3.59797792443675,9.57895974528775
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Male",8,"Caucasian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",7.66666666667,"Mature B-Cell Neoplasms",84.59612727,1.69009205860712,30.9124495246418,5.85121890869253,0.22129558110915,96.2710836414475,0.38437870555482,1.84905740789436,10.9749346005953,0.0794346188567037,0.0503430350535915
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Male",16,"Caucasian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",7.46666666667,"Mature B-Cell Neoplasms",116.6768714,2.45266944305141,48.5063637172005,13.0182341288801,2.18158352342079,131.878494175915,0.249033214461905,5.72223234865632,6.84396334342921,0.0769031070127495,0.0656638981469339
"BPH1_PROSTATE",NA,NA,NA,"Na","",4,"Prostate Cancer, NOS",NA,2.65380643515382,82.9473442625203,7.92207368128243,1.64800917693451,83.4579573278596,0.0199520975664055,6.09861685264139,79.1321310295768,0.107207293101104,0.187166628011466
"BT20_BREAST","Female",74,"Caucasian","Breast","Carcinoma",14.1,"Breast Cancer",114.1400879,9.88421460248872,59.9032643321718,164.26237549404,12.1023663548671,296.258089972341,4.97010516577321,12.6950988289711,139.03810051564,1.77442069385845,1.8177945853226
"BT474_BREAST","Female",60,"Caucasian","Breast","Carcinoma",34.6666666667,"Breast Cancer",359.6409124,0.940833588888567,214.192897671227,0.516908708174008,24.9984044292141,230.722340874711,0.096802544392361,9.95843568975636,107.886527123917,0.450785347803008,0.518108292340478
"BT483_BREAST","Female",23,"Caucasian","Breast","Carcinoma",17.9666666667,"Breast Cancer",178.1897318,15.0283437286792,241.956026265792,102.489566176791,650.890223178985,1716.4302893766,228.915742690525,35.8781329541798,648.618683922936,2.8151484625343,0.359740982336996
"BT549_BREAST","Female",72,"Caucasian","Breast","Carcinoma",6.73333333333,"Breast Cancer",100.4679692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Male",45,"Caucasian","Haematopoietic_And_Lymphoid_Tissue","Haematopoietic_Neoplasm",12.0666666667,"Myeloproliferative Neoplasms",119.0742413,2.14834332799825,82.3009787435069,51.4980014437908,2.00544704300901,160.744154735102,1.01053207593999,2.13161732690787,21.8037723848269,0.126494177442047,2.42113878064627
"BXPC3_PANCREAS","Female",61,"Caucasian","Pancreas","Carcinoma",7,"Pancreatic Cancer",127.6408716,43.2742599578579,187.860750583661,182.148993905528,187.860750583661,204.024482724789,20.1225887004622,16.7488232152994,92.346148471629,0.421233064959601,2.50161619250521
"C2BBE1_LARGE_INTESTINE","Male",72,"Caucasian","Large_Intestine","Carcinoma",10.7666666667,"Colorectal Cancer",115.8861966,42.5599214754514,64.6775399618116,138.643237918535,183.169508487387,378.947623893166,1.17933297119611,22.1978180941335,116.0181912579,2.07617653953553,3.12669332364589
"C32_SKIN","Male",53,"Caucasian","Skin","Malignant_Melanoma",9.56666666667,"Melanoma",125.507998,188.69349894892,187.881980047919,183.389260443035,188.69349894892,323.870582737127,83.9477851324162,18.8693516496293,96.2000617920061,0.510249223038928,81.4667531330431
"C33A_CERVIX",NA,NA,NA,"Na","",70.8,"Cervical Cancer, NOS",NA,11.6148679820774,113.753064713002,19.2961578314135,13.5346085319594,150.100489531022,1.25372484965865,4.35258098919994,54.2410498995538,1.31893158031791,2.10040461504267
"C3A_LIVER","Male",15,"Caucasian","Liver","Carcinoma",9.86666666667,"Hepatobiliary Cancer",NA,189.17509220759,170.322210668271,189.17509220759,189.17509220759,369.31576137398,97.1716497807096,18.9175109799748,72.9452383464365,50.6284666439603,60.7219957117309
"C4I_CERVIX",NA,NA,NA,"Na","",7.93333333333,"Cervical Cancer, NOS",NA,108.067064284275,163.926638250099,96.8577105496514,187.521405207266,278.676051087255,21.2845615488386,18.7258701821423,95.8240790048022,2.75989324601242,58.2271068648856
"CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Male",NA,"Asian","Haematopoietic_And_Lymphoid_Tissue","Lymphoid_Neoplasm",8.2,"Mature B-Cell Neoplasms",135.0411689,1.49493391223102,140.130901994192,58.5648683154666,1.46967751621564,272.37505630951,1.12232788833422,2.45274302423841,46.0641043871389,0.126894277479853,0.179976858544249
"CA922_UPPER_AERODIGESTIVE_TRACT",NA,NA,NA,"Na","",12.8,"Head and Neck Cancer",NA,41.6336610529293,104.688890047824,27.0793921137894,33.397431639334,181.039094562335,1.52041602793913,10.5123630724353,35.6048904281279,0.60301874289102,21.286881692493
"CADOES1_BONE","Female",19,"Asian","Bone","Ewings_Sarcoma-Peripheral_Primitive_Neuroectodermal_Tumour",8.13333333333,"Bone Cancer",129.370936,5.30919912520366,95.9417273122175,71.9623452806526,0.546726282185211,294.22712408746,2.61875758210846,3.96704704282072,58.8887458355879,5.3022380234327,0.340810048304525
"CAKI1_KIDNEY","Male",49,"Caucasian","Kidney","Carcinoma",6.46666666667,"Renal Cell Carcinoma",116.8955149,47.7773176154274,201.905951025838,84.4877877288834,14.1230610950025,350.198452171337,0.974015560105061,35.5064723648609,178.499357183442,50.7087763922535,1.47684344105582
"CAL120_BREAST","Female",43,"Caucasian","Breast","Carcinoma",6.1,"Breast Cancer",99.29632008,19.5448925175536,50.3191137522297,246.983121429608,141.101430922283,513.49022851219,1.57892304887827,16.9114515674819,57.6944510550741,1.36884045740389,1.63903720611288
"CAL12T_LUNG","Male",NA,"Caucasian","Lung","Carcinoma",21.2666666667,"Non-Small Cell Lung Cancer",208.5600477,3.19919111087368,175.098382207478,19.5309229141319,1.83872610939871,190.269977918728,0.268927083817558,7.61375896010567,22.7947671806861,0.757371797610921,0.681522508848449
"CAL148_BREAST","Female",58,"Caucasian","Breast","Carcinoma",19.2,"Breast Cancer",280.808519,11.5406432450641,112.137971327754,86.6352693518556,113.152673530784,220.738777469168,18.7193734324404,7.19884790482659,57.8868359295888,0.543559012314241,6.10519470643473
"CAL27_UPPER_AERODIGESTIVE_TRACT","Male",56,"Caucasian","Upper_Aerodigestive_Tract","Carcinoma",14.1333333333,"Head and Neck Cancer",186.1487595,27.1766731345318,104.598687107655,30.2989482290406,9.11943636415117,230.871435659347,0.347173716634119,12.4924692155669,27.6701993963047,0.557440783068879,5.48317876833289
"CAL29_URINARY_TRACT","Female",80,"Caucasian","Urinary_Tract","Carcinoma",6.46666666667,"Bladder Cancer",66.73799006,6.47614224162165,153.031227213252,68.5662204368827,14.1037398527713,258.68445539307,1.65364344165888,8.29437023729347,81.2817894939825,1.719603945386,1.63184291688385
"CAL33_UPPER_AERODIGESTIVE_TRACT","Male",69,"Caucasian","Upper_Aerodigestive_Tract","Carcinoma",9.53333333333,"Head and Neck Cancer",127.7052288,4.85633481449702,129.742796214518,41.4640588421264,9.57089765579821,226.747712331868,0.629083676580489,12.978537090083,56.5635056075997,1.07777636785878,0.942318453966629
"CAL39_VULVA",NA,NA,NA,"Na","",8.33333333333,"Vaginal Cancer",NA,13.2107382147888,152.279553589657,123.089409769823,10.2235409768825,288.998067141971,9.50523785666263,15.2325258474341,68.2940740998971,3.31767421570787,7.40096206097759
"CAL51_BREAST","Female",45,"Caucasian","Breast","Carcinoma",28.1,"Breast Cancer",206.8416265,23.0335534845551,82.7077243728631,55.0000448122324,73.165500117819,125.696340222836,10.3983069538907,5.91617425924236,41.9957742446962,5.44521913089337,5.49388139860426
"CAL54_KIDNEY","Male",75,"Caucasian","Kidney","Carcinoma",7.33333333333,"Renal Cell Carcinoma",106.5512635,18.538543552257,208.637020905312,212.932880281365,2.12311425715754,234.624414633252,7.71202655008452,9.73997937406756,7.68349867449456,5.12683238674627,13.8722161269139
"CAL62_THYROID","Female",70,"Caucasian","Thyroid","Carcinoma",6.53333333333,"Thyroid Cancer",89.02444689,62.167664423827,117.419383471935,117.095635693641,44.9133015857079,163.036483350818,17.5599369911986,8.08152021292575,49.2051847970586,3.19506362001816,3.08098699939506
"CAL72_BONE",NA,NA,NA,"Na","",9.8,"Bone Cancer",NA,195.06171584428,231.000066869475,227.846008624761,238.436731879891,176.578581808116,110.812213679217,23.5243722326605,122.012561189152,57.5135746034044,137.235441238735
"CAL78_BONE","Male",76,"Caucasian","Bone","Chondrosarcoma",9.16666666667,"Bone Cancer",104.7531753,253.756970517904,253.658531911668,233.104068553183,253.756970517904,368.546171656895,132.877014843798,21.7737257046557,129.780816423497,6.47325452619029,154.709474492643
"CAL851_BREAST","Female",35,"Caucasian","Breast","Carcinoma",7.23333333333,"Breast Cancer",176.8432245,11.7583191166848,248.092336136259,34.6816247297375,4.70112574383228,364.592758297551,0.187689364353977,15.9189464426363,118.898953245066,0.375361769269921,4.21332869845601
"CALU1_LUNG","Male",47,"Caucasian","Lung","Carcinoma",8.3,"Non-Small Cell Lung Cancer",120.70541,11.8147765729143,111.626781638891,5.77510824525907,11.3244714590789,340.589861092252,0.669216937578991,17.8559181090202,86.4398676052535,1.1005026170093,2.31793568817326
"CALU3_LUNG","Male",25,"Caucasian","Lung","Carcinoma",7.66666666667,"Non-Small Cell Lung Cancer",107.5576589,8.9643715122641,116.366302969865,4.61887883852865,41.2354779046543,536.244385361999,0.611968174667046,23.6082210276145,147.322196325268,27.263450618298,0.652065670827206
"CALU6_LUNG","Female",61,"Caucasian","Lung","Carcinoma",7.93333333333,"Non-Small Cell Lung Cancer",87.77718147,97.1886563074489,74.4687072326825,135.761952117125,24.519041015366,294.2998071631,6.04474318927168,20.8211229947355,104.780742475798,3.0757014836309,21.9526969531812
"CAMA1_BREAST","Female",51,"Caucasian","Breast","Carcinoma",15.4666666667,"Breast Cancer",168.5219909,12.0079028036648,295.869950097667,88.0254520059163,10.2650816022406,216.650617846402,24.9210542898335,22.1609559613786,121.58030609985,0.681166846934666,3.74505386483778
"CAOV3_OVARY","Female",54,"Caucasian","Ovary","Carcinoma",9.46666666667,"Ovarian Cancer",140.9123842,15.6741992392691,69.3955677361549,45.3215211387651,7.40304202353778,159.973151815418,3.8528571887203,9.28948392858356,41.2731018143984,0.936835099460802,2.96336367548034
"CAOV4_OVARY","Female",45,"Caucasian","Ovary","Carcinoma",6.23333333333,"Ovarian Cancer",77.29245748,13.9252675601196,181.606271452326,59.5770242150684,2.87301212409376,821.926520548219,79.830768474604,5.88785644391038,130.498795913016,2.13515661508099,0.84089960657938
"CAPAN1_PANCREAS","Male",40,"Caucasian","Pancreas","Carcinoma",8.9,"Pancreatic Cancer",94.4755242,26.9896376068956,221.221397788714,215.820706393918,155.399621145589,403.706851711508,1.65373935575998,21.4297254944842,106.067957799071,0.44615448857532,6.15915134878404
"CAPAN2_PANCREAS","Male",56,"Caucasian","Pancreas","Carcinoma",5.6,"Pancreatic Cancer",75.23691952,17.4678840893165,165.216708993398,191.72537316414,269.42902564832,495.861671637071,13.3106570988821,3.48458864019928,129.337853488786,1.31265657026574,4.9322289226027
"CAR1_LARGE_INTESTINE",NA,NA,NA,"Na","",7.83333333333,"Colorectal Cancer",NA,104.440444515244,432.171715997262,362.97102131862,207.667034212208,286.650298301219,28.6333464954469,42.4028679381019,169.646014759599,1.66688064079098,4.97132796204177
"CAS1_CENTRAL_NERVOUS_SYSTEM","Male",63,"Caucasian","Central_Nervous_System","Glioma",8.3,"Glioma",119.2694501,59.8369881092137,97.3340620123108,78.6101636814671,15.0809295209428,212.614145618569,1.95407512566951,9.7485738254714,111.763049418934,0.930318758951482,16.1469309894925
"CASKI_CERVIX",NA,NA,NA,"Na","",14,"Cervical Cancer",NA,1.03151335437111,95.5904576787823,25.6001190022474,0.517813572577861,85.2251859591103,0.736420494019704,5.00313642113206,66.0858728425815,0.108032842593328,0.255570238768755
"CCFSTTG1_CENTRAL_NERVOUS_SYSTEM","Female",68,"Caucasian","Central_Nervous_System","Glioma",5.83333333333,"Glioma",112.4321587,90.5047196341796,157.247972183034,158.550634045198,158.889501260918,309.23113283951,15.4256236485739,4.59251130625686,66.0501300546695,0.836386041794565,80.2296381823246
"CCK81_LARGE_INTESTINE",NA,NA,"Asian","Large_Intestine","Carcinoma",102.6,"Colorectal Cancer",689.3931011,3.48910061651879,37.3485840293718,31.3879794639298,4.54060834603282,264.348418482887,0.0687875850624178,1.54315496605431,65.9387974207481,10.1827183096373,1.05873838876923
"CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",44.1,"T-Lymphoblastic Leukemia/Lymphoma",NA,0.629354240728541,10.5646867411106,38.4148844355765,2.27872026931823,140.713512897119,0.405117552866411,5.07396214212868,34.9238857306554,0.100400609602991,0.171199283576493
"CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,NA,NA,"Na","",6.66666666667,"Leukemia",NA,0.245403864271912,35.5365946234588,27.9913350561076,0.39903066915345,160.6629994304,0.397731151775822,2.15221813282593,39.2978967644859,0.242053621723562,0.135104868283271
"CFPAC1_PANCREAS","Male",26,"Caucasian","Pancreas","Carcinoma",4.13333333333,"Pancreatic Cancer",79.90153548,23.4859647958537,195.852142588816,121.567905541067,180.989134667019,400.298292324432,13.4080061175391,20.0100970768367,104.427599130576,2.20105105819215,4.44278752325417
